Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;Total não Individualizado;Total Exterior;
AGÊNCIA DE FOMENTO DO PARANÁ S.A.;3.584.906;n1;I;1;S4;30;CURITIBA;PR;03/2017;1.203.632;129.638;2.578;678.599;0;7.335;0;29.118;0;0;356.029;0;0;0;335;0
CREDIT AGRICOLE;51.066;b1;C;3;S3;199;SAO PAULO;SP;03/2017;1.162.348;0;0;0;0;0;297.973;0;0;0;0;0;0;864.375;0;0
DESENVOLVE SP - AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO S.A.;10.663.610;n1;I;1;S4;30;SAO PAULO;SP;03/2017;1.150.026;118.530;0;296.955;0;0;0;32.256;0;0;103.660;0;598.623;0;1;0
INDUSVAL;50.531;b1;C;2;S4;199;SAO PAULO;SP;03/2017;1.125.534;130.895;79;1.796;0;20.274;793.908;0;27.919;3.839;115;0;6;75.863;1;70.840
JP MORGAN CHASE;20.107;b1;C;3;S3;199;SAO PAULO;SP;03/2017;1.121.421;593.896;0;0;0;0;527.525;0;0;0;0;0;0;0;0;0
BANCO DE DESENVOLVIMENTO DO ESPIRITO SANTO S.A.;28.145.829;b4;I;1;S4;5;VITORIA;ES;03/2017;1.076.425;977.854;24.822;59.594;0;14.044;0;0;0;0;0;0;0;0;112;0
SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;29.030.467;b1;I;3;S4;8;SAO PAULO;SP;03/2017;1.070.014;499.925;0;0;0;323.851;246.237;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO E INVESTIMENTO DE LIVRE ADMISSÃO VANGUARDA DA REGIÃO DAS CATARATAS DO IGUAÇU E VALE DO PARAÍBA - SICREDI VANGUARDA PR/SP/RJ;78.414.067;b3S;I;2;S4;9;MEDIANEIRA;PR;03/2017;1.068.994;841.561;0;0;0;44.066;178.689;0;0;0;0;0;0;0;4.679;0
BOFA MERRILL LYNCH;51.255;b1;C;3;S3;199;SAO PAULO;SP;03/2017;974.510;36.787;0;0;0;0;937.721;0;0;0;0;0;0;0;1;0
BANCO LUSO BRASILEIRO S.A.;59.118.133;b1;I;2;S4;8;SAO PAULO;SP;03/2017;918.272;285.524;1.173;0;0;0;539.055;0;0;22.476;0;0;491;69.208;345;0
BANCO A.J. RENNER S.A.;92.874.270;b1;I;2;S4;8;PORTO ALEGRE;RS;03/2017;908.588;857.411;0;0;0;0;49.747;0;0;0;0;0;0;0;1.430;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO VERDE DO MATO GROSSO - SICREDI OURO VERDE MT;26.529.420;b3S;I;2;S4;9;LUCAS DO RIO VERDE;MT;03/2017;896.373;563.161;0;0;0;58.743;271.211;0;0;0;0;0;0;0;3.258;0
BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.;60.498.557;b1;I;3;S3;8;SAO PAULO;SP;03/2017;878.457;413.264;0;28.171;0;7.076;217.491;0;0;0;0;0;0;212.456;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO BRASILEIRA LTDA.;37.395.399;b3S;I;2;S5;9;GOIANIA;GO;03/2017;865.474;473.952;0;0;0;0;391.369;0;0;0;0;0;0;0;153;0
COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO;78.825.270;b3S;I;2;S5;9;CHAPECO;SC;03/2017;861.831;751.308;2.219;1.543;0;0;105.585;0;0;0;0;0;0;0;1.174;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SERRO AZUL - SICREDI UNIÃO RS;88.894.548;b3S;I;2;S4;9;CERRO LARGO;RS;03/2017;855.311;611.668;0;0;0;35.909;204.309;0;0;0;0;0;0;0;3.424;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO LESTE CAPIXABA - SICOOB LESTE CAPIXABA;32.430.233;b3S;I;2;S5;9;LINHARES;ES;03/2017;830.856;616.855;3.848;0;0;0;209.497;0;0;0;0;0;0;0;656;0
BANCO FORD S.A.;90.731.688;b2;I;3;S4;8;SAO PAULO;SP;03/2017;807.145;12.172;0;0;0;0;0;0;794.972;0;0;0;0;0;1;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO VALE DO PIQUIRI ABCD - SICREDI VALE DO PIQUIRI ABCD PR/SP;81.099.491;b3S;I;2;S4;9;PALOTINA;PR;03/2017;783.673;710.102;0;0;0;16.184;53.716;0;0;0;0;0;0;0;3.671;0
DESENBAHIA - AGENCIA DE FOMENTO DO ESTADO DA BAHIA S.A.;15.163.587;n1;I;1;S4;30;SALVADOR;BA;03/2017;774.679;326.238;0;446.588;0;0;0;0;0;0;0;0;0;323;1.531;0
BANCO ABN AMRO S.A.;3.532.415;b1;I;3;S4;8;SAO PAULO;SP;03/2017;742.101;279.447;0;0;0;0;103.596;0;0;0;0;0;0;359.058;0;0
AGÊNCIA DE FOMENTO DO ESTADO DE SANTA CATARINA S.A.-BADESC;82.937.293;n1;I;1;S4;30;FLORIANOPOLIS;SC;03/2017;741.482;407.760;0;105.279;0;3.804;0;202.779;0;20.955;0;0;904;0;1;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS PLANALTO   SICREDI PLANALTO RS/SC;88.038.260;b3S;I;2;S4;9;CRUZ ALTA;RS;03/2017;719.153;485.034;0;0;0;9.076;220.864;0;0;0;0;0;2.552;4;1.623;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO - SICOOB CREDICOONAI;53.923.116;b3S;I;2;S5;9;RIBEIRAO PRETO;SP;03/2017;718.139;715.479;0;0;0;0;63;0;0;2.310;0;0;0;0;287;0
BANCO MONEO S.A.;7.441.209;b2;I;2;S4;8;CAXIAS DO SUL;RS;03/2017;717.322;530.555;0;155.066;0;0;905;30.796;0;0;0;0;0;0;0;0
BANCO CBSS S.A.;27.098.060;b2;I;3;S4;8;BARUERI;SP;03/2017;707.113;535.005;0;0;0;0;0;0;0;0;0;0;0;0;172.108;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO NORTE DO ESPÍRITO SANTO - SICOOB NORTE;31.815.293;b3S;I;2;S5;9;SAO GABRIEL DA PALHA;ES;03/2017;706.566;553.004;559;0;0;0;152.483;0;0;0;0;0;0;0;520;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO CENTRO SUL DO MATO GROSSO DO SUL - SICREDI CENTRO-SUL MS;26.408.161;b3S;I;2;S4;9;DOURADOS;MS;03/2017;704.015;591.511;0;0;0;2.467;107.076;0;0;0;0;0;0;0;2.960;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SICREDI PIONEIRA RS - SICREDI PIONEIRA RS;91.586.982;b3S;I;2;S4;9;NOVA PETROPOLIS;RS;03/2017;694.911;216.105;0;58;0;23.593;450.131;0;0;0;0;0;511;0;4.512;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO NORTE DO RIO GRANDE DO SUL E OESTE DE SANTA CATARINA - SICREDI NORTE RS/SC;87.780.268;b3S;I;2;S4;9;ERECHIM;RS;03/2017;690.908;502.217;0;0;0;32.472;153.671;0;0;0;0;0;0;0;2.548;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO ARAGUAIA E XINGU - SICREDI ARAXINGU;33.021.064;b3S;I;2;S4;9;CANARANA;MT;03/2017;669.370;421.229;0;0;0;27.122;219.818;0;0;0;0;0;0;0;1.200;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS PAMPA GAÚCHO - SICREDI PAMPA GAÚCHO;87.733.077;b3S;I;2;S4;9;ITAQUI;RS;03/2017;667.878;357.615;0;0;0;38.667;269.038;0;0;0;0;0;51;0;2.506;0
DACASA FINANCEIRA;51.891;n1;C;2;S4;197;VITORIA;ES;03/2017;666.086;557.006;0;0;0;0;0;0;0;0;0;0;0;0;109.080;0
AGIPLAN;51.956;b1;C;2;S4;199;PORTO ALEGRE;RS;03/2017;665.589;639.890;0;0;0;0;0;0;0;0;0;0;0;0;25.700;0
MODAL;51.963;b1;C;2;S4;199;RIO DE JANEIRO;RJ;03/2017;660.325;83.266;0;0;0;0;567.508;0;0;0;0;0;0;5.049;6;4.495
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SORRISO - SICREDI CELEIRO DO MT;26.555.235;b3S;I;2;S4;9;SORRISO;MT;03/2017;653.769;534.240;0;0;0;8.317;109.080;0;0;0;0;0;0;0;2.132;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SUL-SERRANA DO ESPÍRITO SANTO;815.319;b3S;I;2;S5;9;VENDA NOVA DO IMIGRANTE;ES;03/2017;641.771;433.084;277;0;0;0;207.733;0;0;0;0;0;0;0;676;0
UNIPRIME NORTE DO PARANA - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS, PROFISSIONAIS DAS CIÊNCIAS E DAS ARTES E EMPRESÁRIOS LTDA.;2.398.976;b3S;I;2;S4;9;LONDRINA;PR;03/2017;626.821;319.559;0;5.733;0;0;301.175;0;0;0;0;0;134;0;219;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DA REGIÃO CENTRO DO RGS - SICREDI REGIÃO CENTRO;95.594.941;b3S;I;2;S4;9;SANTA MARIA;RS;03/2017;625.886;390.791;0;0;0;45.583;184.927;0;0;0;0;0;1.996;0;2.589;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO CAMPOS GERAIS - SICREDI CAMPOS GERAIS PR/SP;81.466.286;b3S;I;2;S4;9;PONTA GROSSA;PR;03/2017;613.734;497.585;0;0;0;2.840;111.138;0;0;0;0;0;0;0;2.170;0
CAIXA GERAL;51.815;b1;C;3;S4;199;SAO PAULO;SP;03/2017;601.370;24.892;0;13.337;0;1.009;449.315;1.285;0;0;0;0;0;111.532;0;0
SICOOB CREDICOM - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS E PROFISSIONAIS DA ÁREA DE SAÚDE DE MINAS GERAIS LTDA.;42.898.825;b3S;I;2;S4;9;BELO HORIZONTE;MG;03/2017;598.320;295.335;0;0;0;0;302.405;0;0;0;0;0;0;0;580;0
CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9.313.766;n1;I;2;S4;14;SAO PAULO;SP;03/2017;594.260;530.251;0;0;0;0;63.166;0;0;0;0;0;0;0;843;0
COOPERATIVA DE CRÉDITO SICREDI JOÃO PESSOA;35.571.249;b3S;I;2;S5;9;JOAO PESSOA;PB;03/2017;585.897;399.420;0;0;0;0;186.131;0;0;0;0;0;0;0;345;0
MÁXIMA;50.201;b1;C;2;S4;199;RIO DE JANEIRO;RJ;03/2017;578.655;37.871;138;0;0;160.925;118.076;0;0;261.644;0;0;0;0;0;0
